trials,subj_idx,response,reward,traveltime,rt,rwdbin,TotalTime,stress,stai_state,stai_trait,SSC,subID,tt,stress2
1,2,1,0.87469596082075,20,0.812,3,0,1,0,0.145454545454545,0.467900533,15089,l,n
2,2,1,0.818791493199445,20,0.847,3,0.054084589434063,1,0,0.145454545454545,0.467900533,15089,l,n
3,2,1,0.749539154030506,20,0.956,3,0.0969466904254512,1,0,0.145454545454545,0.467900533,15089,l,n
4,2,1,0.713359075617027,20,1.046,3,0.138587615203435,1,0,0.145454545454545,0.467900533,15089,l,n
5,2,1,0.669591107976544,20,1.828,3,0.183487281135312,1,0,0.145454545454545,0.467900533,15089,l,n
6,2,1,0.618549421456958,20,1.297,2,0.23068272006943,1,0,0.145454545454545,0.467900533,15089,l,n
7,2,1,0.578166593742727,20,1.163,2,0.273974190034573,1,0,0.145454545454545,0.467900533,15089,l,n
8,2,1,0.460719859436811,20,1.414,2,0.318739194990253,1,0,0.145454545454545,0.467900533,15089,l,n
9,2,0,0,20,0.863,0,0.365306511706258,1,0,0.145454545454545,0.467900533,15089,l,n
10,2,1,0.900096512636542,20,0.622,3,0,1,0,0.145454545454545,0.467900533,15089,l,n
11,2,1,0.857460368154947,20,0.89,3,0.0396182741390303,1,0,0.145454545454545,0.467900533,15089,l,n
12,2,1,0.816589479299013,20,0.879,3,0.0811518804105275,1,0,0.145454545454545,0.467900533,15089,l,n
13,2,1,0.747276287782089,20,0.851,3,0.123076186912178,1,0,0.145454545454545,0.467900533,15089,l,n
14,2,1,0.673447133439536,20,1.059,3,0.163900662996042,1,0,0.145454545454545,0.467900533,15089,l,n
15,2,1,0.563582511567207,20,1.439,2,0.206311032306566,1,0,0.145454545454545,0.467900533,15089,l,n
16,2,1,0.512817561291178,20,1.114,2,0.250978258511709,1,0,0.145454545454545,0.467900533,15089,l,n
17,2,1,0.455194592626544,20,1.38,2,0.293744442229296,1,0,0.145454545454545,0.467900533,15089,l,n
18,2,1,0.380577209151378,20,0.913,2,0.338465288958971,1,0,0.145454545454545,0.467900533,15089,l,n
19,2,0,0,20,0.764,0,0.380047708397629,1,0,0.145454545454545,0.467900533,15089,l,n
20,2,1,0.921390684869035,20,0.756,3,0,1,0,0.145454545454545,0.467900533,15089,l,n
21,2,1,0.851039006052096,20,0.514,3,0.0403521032495438,1,0,0.145454545454545,0.467900533,15089,l,n
22,2,1,0.83577419371835,20,1.046,3,0.0793846918428114,1,0,0.145454545454545,0.467900533,15089,l,n
23,2,1,0.815358155378546,20,1.13,3,0.121581623481078,1,0,0.145454545454545,0.467900533,15089,l,n
24,2,1,0.823493755708339,20,1.58,3,0.16523881990458,1,0,0.145454545454545,0.467900533,15089,l,n
25,2,1,0.738022598697234,20,1.68,3,0.210849052734324,1,0,0.145454545454545,0.467900533,15089,l,n
26,2,1,0.689056865285142,20,3.236,3,0.257455880231057,1,0,0.145454545454545,0.467900533,15089,l,n
27,2,1,0.622517954693238,20,1.253,2,0.313883406741037,1,0,0.145454545454545,0.467900533,15089,l,n
28,2,1,0.579727244342849,20,1.074,2,0.357068167864557,1,0,0.145454545454545,0.467900533,15089,l,n
29,2,1,0.464046415677877,20,1.167,2,0.399639338781644,1,0,0.145454545454545,0.467900533,15089,l,n
30,2,1,0.394907650760876,20,0.927,2,0.442733152399457,1,0,0.145454545454545,0.467900533,15089,l,n
31,2,0,0,20,0.446,0,0.485551332534356,1,0,0.145454545454545,0.467900533,15089,l,n
32,2,1,0.902416778557643,20,0.379,3,0,1,0,0.145454545454545,0.467900533,15089,l,n
33,2,1,0.875012124657693,20,0.983,3,0.037921799199683,1,0,0.145454545454545,0.467900533,15089,l,n
34,2,1,0.786289408059642,20,0.547,3,0.0825675771950123,1,0,0.145454545454545,0.467900533,15089,l,n
35,2,1,0.696850357597374,20,0.479,3,0.124291511342336,1,0,0.145454545454545,0.467900533,15089,l,n
36,2,1,0.662336298006561,20,0.538,3,0.162855095249796,1,0,0.145454545454545,0.467900533,15089,l,n
38,2,1,0.627873785804168,5,0.564,2,0,1,0,0.145454545454545,0.467900533,15089,s,n
39,2,1,0.559290383399512,5,0.464,2,0.0457122117714156,1,0,0.145454545454545,0.467900533,15089,s,n
40,2,1,0.533308335427287,5,0.937,2,0.0868374100468052,1,0,0.145454545454545,0.467900533,15089,s,n
41,2,1,0.476439693805257,5,0.413,2,0.130967658931033,1,0,0.145454545454545,0.467900533,15089,s,n
42,2,1,0.424945464348202,5,0.59,2,0.169434603461635,1,0,0.145454545454545,0.467900533,15089,s,n
43,2,1,0.377666536091007,5,0.547,2,0.211664272104209,1,0,0.145454545454545,0.467900533,15089,s,n
44,2,1,0.349304108995927,5,0.665,2,0.250865900275585,1,0,0.145454545454545,0.467900533,15089,s,n
45,2,1,0.252727018076898,5,0.598,1,0.291225331996633,1,0,0.145454545454545,0.467900533,15089,s,n
46,2,1,0.182948245324195,5,0.938,1,0.330612753036751,1,0,0.145454545454545,0.467900533,15089,s,n
47,2,0,0,5,0.918,0,0.372024998520872,1,0,0.145454545454545,0.467900533,15089,s,n
48,2,1,0.832744618235054,5,0.596,3,0,1,0,0.145454545454545,0.467900533,15089,s,n
49,2,1,0.776394684709347,5,0.498,3,0.0396777414495562,1,0,0.145454545454545,0.467900533,15089,s,n
50,2,1,0.679895708133926,5,0.881,3,0.07856567206203,1,0,0.145454545454545,0.467900533,15089,s,n
51,2,1,0.600297694751314,5,0.724,2,0.11986310066156,1,0,0.145454545454545,0.467900533,15089,s,n
52,2,1,0.524342228175664,5,0.59,2,0.160775231061413,1,0,0.145454545454545,0.467900533,15089,s,n
53,2,1,0.451510914011552,5,0.572,2,0.201343992712764,1,0,0.145454545454545,0.467900533,15089,s,n
54,2,1,0.329459387987834,5,0.497,2,0.241131056567253,1,0,0.145454545454545,0.467900533,15089,s,n
55,2,1,0.251793724080741,5,0.604,1,0.280130061121833,1,0,0.145454545454545,0.467900533,15089,s,n
56,2,1,0.221588657841523,5,0.654,1,0.32166873960511,1,0,0.145454545454545,0.467900533,15089,s,n
57,2,0,0,5,0.756,0,0.361806665588955,1,0,0.145454545454545,0.467900533,15089,s,n
58,2,1,0.85352918257619,5,0.581,3,0,1,0,0.145454545454545,0.467900533,15089,s,n
59,2,1,0.749354760583675,5,0.632,3,0.0395777514145718,1,0,0.145454545454545,0.467900533,15089,s,n
60,2,1,0.725456605261566,5,0.646,3,0.0791975372226309,1,0,0.145454545454545,0.467900533,15089,s,n
61,2,1,0.620641573435386,5,0.681,2,0.118848046142043,1,0,0.145454545454545,0.467900533,15089,s,n
62,2,1,0.551769842413685,5,0.447,2,0.159510456314339,1,0,0.145454545454545,0.467900533,15089,s,n
63,2,1,0.47258128383876,5,0.66,2,0.198394546537893,1,0,0.145454545454545,0.467900533,15089,s,n
64,2,1,0.417208314127766,5,0.481,2,0.240927630891352,1,0,0.145454545454545,0.467900533,15089,s,n
65,2,0,0,5,0.492,0,0.27952929386656,1,0,0.145454545454545,0.467900533,15089,s,n
66,2,1,0.931009705435687,5,0.473,3,0,1,0,0.145454545454545,0.467900533,15089,s,n
67,2,1,0.9075694520651,5,0.606,3,0.0389800724616438,1,0,0.145454545454545,0.467900533,15089,s,n
68,2,1,0.831281820055951,5,0.661,3,0.0816808246472673,1,0,0.145454545454545,0.467900533,15089,s,n
69,2,1,0.702480633056587,5,1.047,3,0.12193878464782,1,0,0.145454545454545,0.467900533,15089,s,n
70,2,1,0.634096211274191,5,0.532,2,0.164570442315041,1,0,0.145454545454545,0.467900533,15089,s,n
71,2,1,0.551289455767827,5,1.164,2,0.203776488058057,1,0,0.145454545454545,0.467900533,15089,s,n
72,2,1,0.487113044967839,5,0.51,2,0.246993189124033,1,0,0.145454545454545,0.467900533,15089,s,n
73,2,1,0.433108087260042,5,0.498,2,0.286516952715978,1,0,0.145454545454545,0.467900533,15089,s,n
74,2,1,0.423250865142471,5,0.514,2,0.325717354061746,1,0,0.145454545454545,0.467900533,15089,s,n
75,2,0,0,5,1.069,0,0.365404945096936,1,0,0.145454545454545,0.467900533,15089,s,n
76,2,1,0.889075718358292,5,0.617,3,0,1,0,0.145454545454545,0.467900533,15089,s,n
77,2,1,0.82147450855308,5,0.464,3,0.0401079999343412,1,0,0.145454545454545,0.467900533,15089,s,n
78,2,1,0.700999649246228,5,0.676,3,0.0812238358562632,1,0,0.145454545454545,0.467900533,15089,s,n
79,2,1,0.665543963442297,5,0.43,3,0.122069990023578,1,0,0.145454545454545,0.467900533,15089,s,n
80,2,1,0.559443135931558,5,0.381,2,0.160879950996347,1,0,0.145454545454545,0.467900533,15089,s,n
81,2,1,0.868422068468185,5,0.468,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
82,2,1,0.849871902072035,5,0.428,3,0.0434477690467662,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
83,2,1,0.740606562046587,5,0.628,3,0.0818093664871843,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
84,2,1,0.716678188781229,5,0.55,3,0.121398021907771,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
85,2,1,0.655498049625103,5,0.513,3,0.160522539966955,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
86,2,1,0.566886136124583,5,0.505,2,0.199402360037833,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
87,2,1,0.521835234432442,5,0.433,2,0.238024629185727,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
88,2,1,0.491967199143632,5,0.436,2,0.275958606690937,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
89,2,1,0.378451456597315,5,0.524,2,0.313785373130597,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
90,2,1,0.313938436959842,5,0.448,1,0.352385919219762,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
91,2,0,0,5,0.564,0,0.390802676338634,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
92,2,1,0.933915395248986,5,0.48,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
93,2,1,0.971470352686983,5,0.547,3,0.0386351295784497,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
94,2,1,0.861571674885506,5,0.589,3,0.0797515376858373,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
95,2,1,0.79223690731865,5,0.463,3,0.122188849685833,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
96,2,1,0.721229596955442,5,0.64,3,0.160568557171069,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
97,2,1,0.687132353822164,5,0.447,3,0.200476774426936,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
98,2,1,0.672815605026139,5,0.566,3,0.238738044517796,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
99,2,1,0.557730931774226,5,0.602,2,0.278185842368482,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
100,2,1,0.48566894705358,5,0.47,2,0.317949631517195,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
101,2,1,0.453342083042193,5,0.64,2,0.356302483764886,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
102,2,1,0.438322158989033,5,1.173,2,0.396052003257697,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
103,2,0,0,5,0.468,0,0.438703864818738,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
104,2,1,0.842803752074854,5,0.683,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
105,2,1,0.731708983842608,5,0.423,3,0.0439438613423796,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
106,2,1,0.665212965912304,5,0.531,3,0.082624248542492,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
107,2,1,0.667420589864247,5,0.481,3,0.121791335701233,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
108,2,1,0.610975906731266,5,0.465,2,0.160561680950962,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
109,2,1,0.519183715226115,5,0.456,2,0.199023988030795,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
110,2,1,0.49103967438022,5,0.381,2,0.237762803112812,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
111,2,0,0,5,0.465,0,0.275942515536322,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
112,2,1,0.862456655246459,5,0.432,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
113,2,1,0.739519525848235,5,0.414,3,0.0384863213790523,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
114,2,1,0.66534731973622,5,0.552,3,0.0771520541347857,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
115,2,1,0.650788355646307,5,0.549,3,0.118973427219445,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
116,2,1,0.571256894351673,5,0.415,2,0.158159144137316,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
117,2,1,0.461951480505322,5,0.381,2,0.196192167196696,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
118,2,0,0,5,0.368,0,0.237121515631709,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
119,2,1,0.882856477244028,5,0.402,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
120,2,1,0.835423467354568,5,0.472,3,0.0386939747309796,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
121,2,1,0.820281159018341,5,0.983,3,0.0772239845942561,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
122,2,1,0.766339944506745,5,0.384,3,0.119053393261716,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
123,2,1,0.73611441970207,5,0.498,3,0.157094961623699,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
124,2,1,0.557677088159018,5,0.464,2,0.195850022775171,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
125,2,1,0.54110845954623,5,0.424,2,0.234417487049574,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
126,2,0,0,5,0.482,0,0.272809665179636,2,0.0533333333333333,0.145454545454545,0.468299415,15089,s,y
128,2,1,0.864400407355898,20,0.473,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
129,2,1,0.80535864096696,20,0.399,3,0.0426345335863145,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
130,2,1,0.747864105159224,20,0.447,3,0.0829802778314342,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
131,2,1,0.65261294885488,20,0.398,3,0.123669373334672,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
132,2,1,0.519177254894849,20,0.464,2,0.161937729530264,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
133,2,1,0.519077211709889,20,0.424,2,0.200775542692549,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
134,2,1,0.468661887490054,20,0.483,2,0.239757199283388,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
135,2,1,0.40117251117508,20,0.416,2,0.278242813551145,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
136,2,1,0.339735929976139,20,0.464,2,0.318925642499137,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
137,2,1,0.244901588025596,20,0.582,1,0.36041256193462,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
138,2,0,0,20,0.399,0,0.399606921601528,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
139,2,1,0.908996443374685,20,0.409,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
140,2,1,0.846418550953462,20,0.364,3,0.038624235566943,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
141,2,1,0.729995426154364,20,0.432,3,0.0768769928373416,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
142,2,1,0.605017283476699,20,0.481,2,0.115646191217509,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
143,2,1,0.529139046842772,20,0.5,2,0.158958712110854,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
144,2,1,0.413172036891241,20,0.95,2,0.197938002502406,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
145,2,1,0.371550196820337,20,0.698,2,0.239767923388296,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
146,2,1,0.337912166660983,20,0.732,2,0.28034112759755,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
147,2,1,0.305314644924201,20,0.883,1,0.322946054958551,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
148,2,1,0.227383881276288,20,0.385,1,0.364550050036975,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
149,2,1,0.18058975168995,20,0.463,1,0.405837666530268,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
150,2,0,0,20,0.573,0,0.44451814617956,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
151,2,1,0.867559497394303,20,0.38,3,0,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
152,2,1,0.781563097846778,20,0.517,3,0.0419430187154571,2,0.0533333333333333,0.145454545454545,0.468299415,15089,l,y
