response_nflw,response_eeg,rt_nflw,rt_eeg,subject
1.0,1.0,0.65,1.648,7873
1.0,1.0,0.72,1.752,7873
1.0,1.0,2.011,3.064,7873
1.0,1.0,0.496,1.412,7873
1.0,1.0,0.597,1.536,7873
0.0,0.0,0.001,0.988,7873
1.0,1.0,0.54,1.624,7873
1.0,1.0,0.697,1.644,7873
1.0,1.0,0.763,1.748,7873
1.0,1.0,0.713,1.744,7873
1.0,1.0,0.635,1.636,7873
1.0,1.0,0.781,1.864,7873
1.0,1.0,0.536,1.536,7873
1.0,1.0,0.695,1.648,7873
1.0,1.0,0.614,1.644,7873
0.0,0.0,0.001,0.988,7873
1.0,1.0,0.614,1.752,7873
1.0,1.0,0.518,1.544,7873
1.0,1.0,0.465,1.52,7873
1.0,1.0,0.83,1.864,7873
1.0,1.0,0.512,1.524,7873
1.0,1.0,0.736,1.756,7873
1.0,1.0,0.548,1.532,7873
1.0,1.0,0.521,1.524,7873
1.0,1.0,0.621,1.64,7873
1.0,1.0,0.645,1.644,7873
1.0,1.0,0.581,1.644,7873
1.0,1.0,0.498,1.536,7873
1.0,1.0,0.481,1.528,7873
1.0,1.0,0.581,1.624,7873
0.0,0.0,0.001,0.992,7873
1.0,1.0,0.648,1.732,7873
1.0,1.0,0.663,1.652,7873
1.0,1.0,0.564,1.536,7873
1.0,1.0,0.623,1.632,7873
1.0,1.0,0.549,1.652,7873
1.0,1.0,0.589,1.644,7873
1.0,1.0,0.565,1.536,7873
1.0,1.0,0.554,1.64,7873
1.0,1.0,0.496,1.524,7873
1.0,1.0,0.48,1.424,7873
1.0,1.0,0.685,1.756,7873
0.0,0.0,0.001,0.988,7873
1.0,1.0,0.479,1.528,7873
1.0,1.0,0.503,1.416,7873
1.0,1.0,0.614,1.632,7873
1.0,1.0,0.497,1.54,7873
1.0,1.0,0.61,1.54,7873
1.0,1.0,0.564,1.528,7873
1.0,1.0,0.534,1.528,7873
1.0,1.0,0.599,1.644,7873
1.0,1.0,0.647,1.64,7873
0.0,0.0,0.001,0.996,7873
1.0,1.0,0.677,1.756,7873
1.0,1.0,0.582,1.536,7873
1.0,1.0,0.631,1.636,7873
1.0,1.0,0.613,1.536,7873
1.0,1.0,0.613,1.644,7873
1.0,1.0,0.546,1.532,7873
1.0,1.0,0.405,1.432,7873
0.0,0.0,0.001,0.988,7873
1.0,1.0,0.5,1.54,7873
1.0,1.0,0.629,1.644,7873
1.0,1.0,0.548,1.648,7873
1.0,1.0,0.681,1.648,7873
1.0,1.0,0.626,1.636,7873
1.0,1.0,0.623,1.748,7873
1.0,1.0,0.488,1.528,7873
1.0,1.0,0.997,2.084,7873
1.0,1.0,0.647,1.648,7873
1.0,1.0,0.548,1.656,7873
1.0,1.0,0.582,1.64,7873
0.0,0.0,0.538,1.64,7873
1.0,1.0,0.546,1.54,7873
1.0,1.0,0.59,1.648,7873
1.0,1.0,0.614,1.64,7873
1.0,1.0,0.489,1.428,7873
1.0,1.0,0.665,1.428,7873
1.0,1.0,0.778,1.644,7873
1.0,1.0,0.63,1.64,7873
1.0,1.0,0.713,1.756,7873
1.0,1.0,0.518,1.648,7873
1.0,1.0,0.47,1.752,7873
1.0,1.0,0.464,1.532,7873
1.0,1.0,0.433,1.532,7873
1.0,1.0,0.59,1.524,7873
0.0,1.0,0.435,1.428,7873
1.0,1.0,0.564,1.648,7873
1.0,0.0,0.596,1.42,7873
1.0,1.0,0.648,1.536,7873
1.0,1.0,0.557,1.532,7873
1.0,1.0,1.245,1.644,7873
1.0,1.0,0.583,1.644,7873
1.0,1.0,0.53,2.3,7873
1.0,1.0,0.863,1.532,7873
1.0,1.0,0.563,1.532,7873
0.0,1.0,0.486,1.856,7873
1.0,1.0,0.523,1.54,7873
1.0,0.0,0.511,1.516,7873
1.0,1.0,0.604,1.528,7873
1.0,1.0,0.54,1.548,7873
1.0,1.0,0.547,1.64,7873
1.0,1.0,0.462,1.544,7873
1.0,1.0,0.411,1.528,7873
1.0,1.0,0.447,1.42,7873
1.0,1.0,0.474,1.528,7873
1.0,1.0,0.563,1.42,7873
1.0,1.0,0.464,1.428,7873
1.0,1.0,0.521,1.632,7873
0.0,1.0,0.533,1.428,7873
1.0,1.0,0.68,1.528,7873
1.0,0.0,0.517,1.656,7873
1.0,1.0,0.64,1.648,7873
1.0,1.0,0.597,1.428,7873
1.0,1.0,0.765,1.644,7873
1.0,1.0,0.614,1.64,7873
1.0,1.0,0.477,1.56,7873
1.0,1.0,0.482,1.648,7873
0.0,1.0,0.448,1.52,7873
1.0,1.0,0.548,1.528,7873
1.0,0.0,0.524,1.432,7873
1.0,1.0,0.532,1.54,7873
1.0,1.0,0.491,1.532,7873
1.0,1.0,0.58,1.524,7873
1.0,1.0,0.463,1.428,7873
0.0,1.0,0.489,1.64,7873
1.0,1.0,0.68,1.528,7873
1.0,0.0,0.449,1.54,7873
1.0,1.0,0.532,1.644,7873
1.0,1.0,0.514,1.424,7873
1.0,1.0,0.722,1.528,7873
1.0,1.0,0.532,1.54,7873
0.0,1.0,0.449,1.756,7873
1.0,1.0,0.399,1.536,7873
1.0,0.0,0.497,1.424,7873
1.0,1.0,0.547,1.32,7873
1.0,1.0,0.606,1.536,7873
0.0,1.0,0.598,1.648,7873
1.0,1.0,0.426,1.64,7873
1.0,0.0,0.549,1.528,7873
1.0,1.0,0.561,1.424,7873
1.0,1.0,0.465,1.636,7873
1.0,1.0,0.669,1.536,7873
0.0,1.0,0.461,1.54,7873
1.0,1.0,0.58,1.64,7873
1.0,0.0,0.531,1.532,7873
1.0,1.0,0.531,1.652,7873
1.0,1.0,0.598,1.528,7873
1.0,1.0,0.484,1.544,7873
0.0,1.0,0.497,1.648,7873
1.0,1.0,0.464,1.536,7873
1.0,0.0,0.563,1.54,7873
1.0,1.0,0.477,1.516,7873
1.0,1.0,0.479,1.54,7873
1.0,1.0,0.532,1.412,7873
1.0,1.0,0.455,1.52,7873
0.0,1.0,0.44,1.532,7873
1.0,1.0,0.445,1.424,7873
,0.0,,1.424,7873
,1.0,,1.424,7873
,1.0,,1.54,7873
,1.0,,1.648,7873
1.0,1.0,0.812,1.752,15089
1.0,1.0,0.847,1.856,15089
1.0,1.0,0.956,2.072,15089
1.0,1.0,1.046,2.068,15089
1.0,1.0,1.828,2.832,15089
1.0,1.0,1.297,2.296,15089
1.0,1.0,1.163,2.188,15089
1.0,1.0,1.414,2.404,15089
0.0,0.0,0.863,1.752,15089
1.0,1.0,0.622,1.54,15089
1.0,1.0,0.89,1.856,15089
1.0,1.0,0.879,1.86,15089
1.0,1.0,0.851,1.84,15089
1.0,1.0,1.059,2.076,15089
1.0,1.0,1.439,2.508,15089
1.0,1.0,1.114,2.18,15089
1.0,1.0,1.38,2.408,15089
1.0,1.0,0.913,1.968,15089
0.0,0.0,0.764,1.744,15089
1.0,1.0,0.756,1.564,15089
1.0,1.0,0.514,1.64,15089
1.0,1.0,1.046,1.976,15089
1.0,1.0,1.13,2.176,15089
1.0,1.0,1.58,2.516,15089
1.0,1.0,1.68,2.62,15089
1.0,1.0,3.236,4.26,15089
1.0,1.0,1.253,2.3,15089
1.0,1.0,1.074,2.08,15089
1.0,1.0,1.167,2.184,15089
1.0,1.0,0.927,1.964,15089
0.0,0.0,0.446,1.412,15089
1.0,1.0,0.379,1.428,15089
1.0,1.0,0.983,1.968,15089
1.0,1.0,0.547,1.536,15089
1.0,1.0,0.479,1.54,15089
1.0,1.0,0.538,1.532,15089
1.0,1.0,0.564,1.528,15089
1.0,1.0,0.464,1.532,15089
1.0,1.0,0.937,1.976,15089
1.0,1.0,0.413,1.424,15089
1.0,1.0,0.59,1.628,15089
1.0,1.0,0.547,1.532,15089
1.0,1.0,0.665,1.736,15089
1.0,1.0,0.598,1.64,15089
1.0,1.0,0.938,1.968,15089
0.0,0.0,0.918,1.956,15089
1.0,1.0,0.596,1.644,15089
1.0,1.0,0.498,1.532,15089
1.0,1.0,0.881,1.872,15089
1.0,1.0,0.724,1.756,15089
1.0,1.0,0.59,1.644,15089
1.0,1.0,0.572,1.532,15089
1.0,1.0,0.497,1.524,15089
1.0,1.0,0.604,1.632,15089
1.0,1.0,0.654,1.632,15089
0.0,0.0,0.756,1.852,15089
1.0,1.0,0.581,1.536,15089
1.0,1.0,0.632,1.644,15089
1.0,1.0,0.646,1.744,15089
1.0,1.0,0.681,1.756,15089
1.0,1.0,0.447,1.52,15089
1.0,1.0,0.66,1.644,15089
1.0,1.0,0.481,1.42,15089
0.0,0.0,0.492,1.524,15089
1.0,1.0,0.473,1.536,15089
1.0,1.0,0.606,1.636,15089
1.0,1.0,0.661,1.64,15089
1.0,1.0,1.047,1.968,15089
1.0,1.0,0.532,1.532,15089
1.0,1.0,1.164,2.18,15089
1.0,1.0,0.51,1.428,15089
1.0,1.0,0.498,1.536,15089
1.0,1.0,0.514,1.42,15089
0.0,0.0,1.069,2.072,15089
1.0,1.0,0.617,1.528,15089
1.0,1.0,0.464,1.536,15089
1.0,1.0,0.676,1.764,15089
1.0,1.0,0.43,1.432,15089
1.0,1.0,0.381,1.312,15089
1.0,1.0,0.468,1.54,15089
1.0,1.0,0.428,1.424,15089
1.0,1.0,0.628,1.424,15089
1.0,1.0,0.55,1.428,15089
1.0,1.0,0.513,1.648,15089
1.0,1.0,0.505,1.524,15089
